subset,label,person,id,acceleration,time,dimension
train,swiperight,james,11,-34.0,0.6,y
train,swiperight,james,11,8.0,0.6,z
train,swiperight,james,11,-19.0,0.7,x
train,swiperight,james,11,-24.0,0.7,y
train,swiperight,james,11,25.0,0.7,z
train,swiperight,james,11,-17.0,0.8,x
train,swiperight,james,11,-33.0,0.8,y
train,swiperight,james,11,30.0,0.8,z
train,swiperight,james,11,-14.0,0.9,x
train,swiperight,james,11,-17.0,0.9,y
train,swiperight,james,11,15.0,0.9,z
train,swiperight,james,11,-24.0,1.0,x
train,swiperight,james,11,2.0,1.0,y
train,swiperight,james,11,-32.0,1.0,z
train,swiperight,james,11,-24.0,1.1,x
train,swiperight,james,11,-8.0,1.1,y
train,swiperight,james,11,-23.0,1.1,z
train,swiperight,james,11,-26.0,1.2,x
train,swiperight,james,11,-10.0,1.2,y
train,swiperight,james,11,-12.0,1.2,z
train,swiperight,james,12,-6.0,0.0,x
train,swiperight,james,12,-12.0,0.0,y
train,swiperight,james,12,-27.0,0.0,z
train,swiperight,james,12,-4.0,0.1,x
train,swiperight,james,12,-20.0,0.1,y
train,swiperight,james,12,-30.0,0.1,z
train,swiperight,james,12,-6.0,0.2,x
train,swiperight,james,12,-34.0,0.2,y
train,swiperight,james,12,-28.0,0.2,z
train,swiperight,james,12,-6.0,0.3,x
train,swiperight,james,12,-39.0,0.3,y
train,swiperight,james,12,-16.0,0.3,z
train,swiperight,james,12,-8.0,0.4,x
train,swiperight,james,12,-29.0,0.4,y
train,swiperight,james,12,-6.0,0.4,z
train,swiperight,james,12,2.0,0.5,x
train,swiperight,james,12,-42.0,0.5,y
train,swiperight,james,12,17.0,0.5,z
train,swiperight,james,12,8.0,0.6,x
train,swiperight,james,12,-1.0,0.6,y
train,swiperight,james,12,-11.0,0.6,z
train,swiperight,james,12,-1.0,0.7,x
train,swiperight,james,12,38.0,0.7,y
train,swiperight,james,12,-19.0,0.7,z
train,swiperight,james,12,-9.0,0.8,x
train,swiperight,james,12,6.0,0.8,y
train,swiperight,james,12,-27.0,0.8,z
train,swiperight,james,12,-10.0,0.9,x
train,swiperight,james,12,0.0,0.9,y
train,swiperight,james,12,-33.0,0.9,z
train,swiperight,james,12,-12.0,1.0,x
train,swiperight,james,12,-2.0,1.0,y
train,swiperight,james,12,-32.0,1.0,z
train,swiperight,james,12,-9.0,1.1,x
train,swiperight,james,12,-10.0,1.1,y
train,swiperight,james,12,-31.0,1.1,z
train,swiperight,james,13,-2.0,0.0,x
train,swiperight,james,13,-30.0,0.0,y
train,swiperight,james,13,-21.0,0.0,z
train,swiperight,james,13,0.0,0.1,x
train,swiperight,james,13,-25.0,0.1,y
